region_code,region,dwelling_type,country,growth_1Y_ann,growth_3Y_ann,growth_5Y_ann,latest_index,latest_period,n_obs,avg_monthly_rent,avg_price_sqm,estimated_price,gross_yield_pct,permits_per_1000_stock,permits_rolling3y,completion_ratio,permit_momentum_yoy,volatility_qoq,national_avg_psqm,national_avg_yield,yield_premium,price_vs_national,supply_tightening,index_gap,_y1,_y2,_y3,_y4,_g1,_g2,_g3,_g4,_g5,_r1,_r2_raw,_r2,yield_score_raw,growth_score_raw,risk_score,composite_raw,risk_adjustment,composite_adj,yield_score,growth_score,composite_score,yield_pct_rank,growth_pct_rank,composite_pct_rank
18,Nordland,All dwelling types,NO,2.9377126406699983,-0.6503602980404088,4.233801100046519,143.02889805565974,2024Q4,60,9502.666666666666,21556.916666666668,1508984.1666666667,7.56,5.15,503.0,0.753,19.54,1.7288782368109072,35871.33333333333,5.595,1.9649999999999999,0.6009510844313938,-19.54,17.89677762001591,0.8452914798206277,0.8452914798206277,0.9410977242302543,0.9690044569211371,0.48297191347313106,0.18267583592167805,0.9410977242302543,0.566639632333063,0.46048016038243605,1.0,0.0,0.5,0.8830096752676294,0.5056406528136161,0.8,0.6943251640406227,0.8,0.5554601312324982,88.3,50.6,55.5,76.2,40.0,65.0
18,Nordland,Apartments,NO,3.9622641509434064,0.032285405205323414,4.129779795369903,150.27443493676066,2024Q4,60,9502.666666666666,21556.916666666668,1508984.1666666667,7.56,5.15,503.0,0.753,19.54,1.4539009284201874,35871.33333333333,5.595,1.9649999999999999,0.6009510844313938,-19.54,10.651240738914993,0.8452914798206277,0.8452914798206277,0.9410977242302543,0.9690044569211371,0.621427246748141,0.3458299897118789,0.9410977242302543,0.566639632333063,0.27405408659948205,0.40759065658860505,0.0,0.5,0.8830096752676294,0.5762459505291244,0.44455439395316304,0.7296278128983769,0.8888614015117092,0.6485380003547744,88.3,57.6,64.9,76.2,50.0,80.0
18,Nordland,Detached houses,NO,4.609637654090415,1.0302489153568795,3.500541299343407,127.29235559494995,2024Q4,60,9502.666666666666,21556.916666666668,1508984.1666666667,7.56,5.15,503.0,0.753,19.54,1.269210217385494,35871.33333333333,5.595,1.9649999999999999,0.6009510844313938,-19.54,33.633320080725696,0.8452914798206277,0.8452914798206277,0.9410977242302543,0.9690044569211371,0.7089116857762098,0.5843459449696601,0.9410977242302543,0.566639632333063,0.8653779442196928,0.009694177426112437,0.0,0.5,0.8830096752676294,0.7256268787654149,0.2058165064556675,0.8043182770165221,0.9485458733860831,0.7629327825530265,88.3,72.6,76.3,76.2,86.2,97.5
18,Nordland,Semi-detached / terraced,NO,1.2578616352201477,-1.2374486598002998,2.870582359230589,125.87415766088253,2024Q4,60,9502.666666666666,21556.916666666668,1508984.1666666667,7.56,5.15,503.0,0.753,19.54,1.580418706283228,35871.33333333333,5.595,1.9649999999999999,0.6009510844313938,-19.54,35.05151801479312,0.8452914798206277,0.8452914798206277,0.9410977242302543,0.9690044569211371,0.25596104239466966,0.042360143011603096,0.9410977242302543,0.566639632333063,0.9018678658133448,0.6801597429337752,0.0,0.5,0.8830096752676294,0.4352466952517268,0.6080958457602652,0.6591281852596781,0.8479760385599338,0.5589249074396999,88.3,43.5,55.9,76.2,17.5,70.0
32,Akershus,All dwelling types,NO,3.7475923289506774,2.3547457751422085,5.613596060841042,145.74759466027447,2024Q4,60,15004.333333333334,55429.61666666667,3880073.166666667,4.64,9.53,2419.0,0.822,20.04,1.5356292414988815,35871.33333333333,5.595,-0.9550000000000001,1.545234356124668,-20.04,15.178081015401176,0.19058295964125552,0.19058295964125552,0.35475234270415,0.35167486133061254,0.5924170326586363,0.9009042464847654,0.35475234270415,0.5531224655312247,0.390528693414213,0.583665608272524,0.0,0.5,0.24758062150723797,0.5978876074870878,0.5501993649635144,0.4227341144971629,0.8624501587591213,0.36458710416097473,24.8,59.8,36.5,26.2,55.0,35.0
32,Akershus,Apartments,NO,4.195257534960484,-0.8468500987189431,3.346587233017817,141.12993062474493,2024Q4,60,15004.333333333334,55429.61666666667,3880073.166666667,4.64,9.53,2419.0,0.822,20.04,1.5660647451743799,35871.33333333333,5.595,-0.9550000000000001,1.545234356124668,-20.04,19.79574505093072,0.19058295964125552,0.19058295964125552,0.35475234270415,0.35167486133061254,0.6529133909892912,0.13571424661453563,0.35475234270415,0.5531224655312247,0.5093401756161671,0.6492356615046169,0.0,0.5,0.24758062150723797,0.4396449811554551,0.5895413969027701,0.34361280133134653,0.8526146507743075,0.2929693086087075,24.8,44.0,29.3,26.2,20.0,22.5
32,Akershus,Detached houses,NO,5.603370987986378,1.8933640129363827,4.986704701852895,138.57698006242668,2024Q4,60,15004.333333333334,55429.61666666667,3880073.166666667,4.64,9.53,2419.0,0.822,20.04,1.2647104929207444,35871.33333333333,5.595,-0.9550000000000001,1.545234356124668,-20.04,22.348695613248964,0.19058295964125552,0.19058295964125552,0.35475234270415,0.35167486133061254,0.8432023276340663,0.7906327679871912,0.35475234270415,0.5531224655312247,0.5750270332921519,0.0,0.0,0.5,0.24758062150723797,0.6765444250918886,0.2,0.4620625232995633,0.95,0.43895939713458515,24.8,67.7,43.9,26.2,80.0,45.0
32,Akershus,Semi-detached / terraced,NO,3.604046361141844,1.2508218421056538,4.883696785407188,148.80642943540232,2024Q4,60,15004.333333333334,55429.61666666667,3880073.166666667,4.64,9.53,2419.0,0.822,20.04,1.5168735682111034,35871.33333333333,5.595,-0.9550000000000001,1.545234356124668,-20.04,12.119246240273327,0.19058295964125552,0.19058295964125552,0.35475234270415,0.35167486133061254,0.5730185889357314,0.6370634659935488,0.35475234270415,0.5531224655312247,0.31182554596833256,0.5432585064550047,0.0,0.5,0.24758062150723797,0.517267642316679,0.5259551038730028,0.38242413191195845,0.8685112240317493,0.3321396509061342,24.8,51.7,33.2,26.2,45.0,25.0
34,Innlandet,All dwelling types,NO,-0.09963703650986977,-1.4146857631407994,2.7423941174316235,122.06020619453155,2024Q4,60,9002.666666666666,19856.2,1389934.0,7.77,5.07,602.0,0.894,14.95,1.5858881144495192,35871.33333333333,5.595,2.175,0.5535395022952405,-14.95,38.8654694811441,0.8923766816143497,0.8923766816143497,0.9518072289156626,1.0,0.07251206093291139,0.0,0.9518072289156626,0.6907272235739389,1.0,0.6919430006854931,0.0,0.5,0.9204062888324598,0.38481338946704535,0.6151658004112959,0.6526098391497526,0.8462085498971761,0.5522440256355414,92.0,38.5,55.2,86.2,15.0,62.5
34,Innlandet,Apartments,NO,3.9367290326388638,1.5195799148302935,4.949688749675407,153.12960255650785,2024Q4,60,9002.666666666666,19856.2,1389934.0,7.77,5.07,602.0,0.894,14.95,1.4238076600374272,35871.33333333333,5.595,2.175,0.5535395022952405,-14.95,7.796073119167801,0.8923766816143497,0.8923766816143497,0.9518072289156626,1.0,0.617976494609648,0.7012973661282568,0.9518072289156626,0.6907272235739389,0.20059125036300227,0.3427579128685218,0.0,0.5,0.9204062888324598,0.6711094078222677,0.4056547477211131,0.7957578483273637,0.8985863130697217,0.7150571110247805,92.0,67.1,71.5,86.2,75.0,87.5
